Key Name	HID Usage Page	HID Usage ID	PS/2 Set 1 Make	PS/2 Set 1 Break	PS/2 Set 2 Make	PS/2 Set 2 Break
F5	07	3E	3F	BF	03	F0 03
F6	07	3F	40	C0	0B	F0 0B
F7	07	40	41	C1	83	F0 83
F8	07	41	42	C2	0A	F0 0A
F9	07	42	43	C3	01	F0 01
F10	07	43	44	C4	09	F0 09
F11	07	44	57	D7	78	F0 78
F12	07	45	58	D8	07	F0 07
Print Screen	07	46	E0 37	E0 B7	E0 7C	E0 F0 7C
Scroll Lock	07	47	46	C6	7E	F0 7E
Break (Ctrl-Pause)	07	48	E0 46 E0 C6	None	E0 7E E0 F0 7E	None
Pause	07	48	E1 1D 45 E1 9D C5	None	E1 14 77 E1 F0 14 F0 77	None
Insert	07	49	E0 52	E0 D2	E0 70	E0 F0 70
Home	07	4A	E0 47	E0 C7	E0 6C	E0 F0 6C
Page Up	07	4B	E0 49	E0 C9	E0 7D	E0 F0 7D
Delete	07	4C	E0 53	E0 D3	E0 71	E0 F0 71
End	07	4D	E0 4F	E0 CF	E0 69	E0 F0 69
Page Down	07	4E	E0 51	E0 D1	E0 7A	E0 F0 7A
Right Arrow	07	4F	E0 4D	E0 CD	E0 74	E0 F0 74
Left Arrow	07	50	E0 4B	E0 CB	E0 6B	E0 F0 6B
Down Arrow	07	51	E0 50	E0 D0	E0 72	E0 F0 72
Up Arrow	07	52	E0 48	E0 C8	E0 75	E0 F0 75
Num Lock	07	53	45	C5	77	F0 77
Keypad /	07	54	E0 35	E0 B5	E0 4A	E0 F0 4A
Keypad *	07	55	37	B7	7C	F0 7C
Keypad -	07	56	4A	CA	7B	F0 7B
Keypad +	07	57	4E	CE	79	F0 79
Keypad Enter	07	58	E0 1C	E0 9C	E0 5A	E0 F0 5A
Keypad 1 End	07	59	4F	CF	69	F0 69
Keypad 2 Down	07	5A	50	D0	72	F0 72
Keypad 3 PageDn	07	5B	51	D1	7A	F0 7A
Keypad 4 Left	07	5C	4B	CB	6B	F0 6B
Keypad 5	07	5D	4C	CC	73	F0 73
Keypad 6 Right	07	5E	4D	CD	74	F0 74
Keypad 7 Home	07	5F	47	C7	6C	F0 6C
Keypad 8 Up	07	60	48	C8	75	F0 75
Keypad 9 PageUp	07	61	49	C9	7D	F0 7D
Keypad 0 Insert	07	62	52	D2	70	F0 70
Keypad . Delete	07	63	53	D3	71	F0 71
Europe 2	07	64	56	D6	61	F0 61
App	07	65	E0 5D	E0 DD	E0 2F	E0 F0 2F
Keyboard Power	07	66	E0 5E	E0 DE	E0 37	E0 F0 37
Keypad =	07	67	59	D9	0F	F0 0F
F13	07	68	64	E4	08	F0 08
F14	07	69	65	E5	10	F0 10
F15	07	6A	66	E6	18	F0 18
F16	07	6B	67	E7	20	F0 20
F17	07	6C	68	E8	28	F0 28
F18	07	6D	69	E9	30	F0 30
F19	07	6E	6A	EA	38	F0 38
F20	07	6F	6B	EB	40	F0 40
F21	07	70	6C	EC	48	F0 48
F22	07	71	6D	ED	50	F0 50
F23	07	72	6E	EE	57	F0 57
F24	07	73	76	F6	5F	F0 5F
Keyboard Execute	07	74	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Help	07	75	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Menu	07	76	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Select	07	77	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Stop	07	78	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Again	07	79	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Undo	07	7A	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Cut	07	7B	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Copy	07	7C	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Paste	07	7D	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Find	07	7E	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Mute	07	7F	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Volume Up	07	80	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Volume Dn	07	81	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Locking Caps Lock	07	82	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Locking Num Lock	07	83	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Locking Scroll Lock	07	84	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keypad ,	07	85	7E	FE	6D	F0 6D
Keyboard Equal Sign	07	86	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Ro	07	87	73	F3	51	F0 51
Katakana/Hiragana	07	88	70	F0	13	F0 13
Yen	07	89	7D	FD	6A	F0 6A
Henkan	07	8A	79	F9	64	F0 64
Muhenkan	07	8B	7B	FB	67	F0 67
PC9800 Keypad ,	07	8C	5C	DC	27	F0 27
Keyboard Int'l 7	07	8D	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Int'l 8	07	8E	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Int'l 9	07	8F	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Hanguel/English	07	90	F2	None	F2	None
Hanja	07	91	F1	None	F1	None
Katakana	07	92	78	F8	63	F0 63
Hiragana	07	93	77	F7	62	F0 62
Zenkaku/Hankaku	07	94	76	F6	5F	F0 5F
Keyboard Lang 6	07	95	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Lang 7	07	96	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Lang 8	07	97	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Lang 9	07	98	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Alternate Erase	07	99	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard SysReq/Attention	07	9A	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Cancel	07	9B	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Clear	07	9C	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Prior	07	9D	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Return	07	9E	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Separator	07	9F	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Out	07	A0	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Oper	07	A1	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard Clear/Again	07	A2	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard CrSel/Props	07	A3	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Keyboard ExSel	07	A4	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
RESERVED	07	A5-DF	RESERVED	RESERVED	RESERVED	RESERVED
Left Control	07	E0	1D	9D	14	F0 14
Left Shift	07	E1	2A	AA	12	F0 12
Left Alt	07	E2	38	B8	11	F0 11
Left GUI	07	E3	E0 5B	E0 DB	E0 1F	E0 F0 1F
Right Control	07	E4	E0 1D	E0 9D	E0 14	E0 F0 14
Right Shift	07	E5	36	B6	59	F0 59
Right Alt	07	E6	E0 38	E0 B8	E0 11	E0 F0 11
Right GUI	07	E7	E0 5C	E0 DC	E0 27	E0 F0 27
RESERVED	07	E8-FFFF	RESERVED	RESERVED	RESERVED	RESERVED
Scan Next Track	0C	00B5	E0 19	E0 99	E0 4D	E0 F0 4D
Scan Previous Track	0C	00B6	E0 10	E0 90	E0 15	E0 F0 15
Stop	0C	00B7	E0 24	E0 A4	E0 3B	E0 F0 3B
Play/ Pause	0C	00CD	E0 22	E0 A2	E0 34	E0 F0 34
Mute	0C	00E2	E0 20	E0 A0	E0 23	E0 F0 23
Bass Boost	0C	00E5	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Loudness	0C	00E7	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Volume Up	0C	00E9	E0 30	E0 B0	E0 32	E0 F0 32
Volume Down	0C	00EA	E0 2E	E0 AE	E0 21	E0 F0 21
Bass Up	0C	0152	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Bass Down	0C	0153	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Treble Up	0C	0154	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Treble Down	0C	0155	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED
Media Select	0C	0183	E0 6D	E0 ED	E0 50	E0 F0 50
Mail	0C	018A	E0 6C	E0 EC	E0 48	E0 F0 48
Calculator	0C	0192	E0 21	E0 A1	E0 2B	E0 F0 2B
My Computer	0C	0194	E0 6B	E0 EB	E0 40	E0 F0 40
WWW Search	0C	0221	E0 65	E0 E5	E0 10	E0 F0 10
WWW Home	0C	0223	E0 32	E0 B2	E0 3A	E0 F0 3A
WWW Back	0C	0224	E0 6A	E0 EA	E0 38	E0 F0 38
WWW Forward	0C	0225	E0 69	E0 E9	E0 30	E0 F0 30
WWW Stop	0C	0226	E0 68	E0 E8	E0 28	E0 F0 28
WWW Refresh	0C	0227	E0 67	E0 E7	E0 20	E0 F0 20
WWW Favorites	0C	022A	E0 66	E0 E6	E0 18	E0 F0 18
DO NOT USE	DO NOT USE	DO NOT USE	00	80	DO NOT USE	DO NOT USE
DO NOT USE	DO NOT USE	DO NOT USE	60	E0	47	F0 47
DO NOT USE	DO NOT USE	DO NOT USE	61	E1	4F	F0 4F
DO NOT USE	DO NOT USE	DO NOT USE	7A	FA	65	F0 65
DO NOT USE	DO NOT USE	DO NOT USE	7C	FC	68	F0 68
DO NOT USE	DO NOT USE	DO NOT USE	7F	FF	6E	F0 6E
DO NOT USE	DO NOT USE	DO NOT USE	E0 60	E0 E0	E0 47	E0 F0 47
DO NOT USE	DO NOT USE	DO NOT USE	E0 61	E0 E1	E0 4F	E0 F0 4F
DO NOT USE	DO NOT USE	DO NOT USE	E0 7A	E0 FA	E0 65	E0 F0 65
DO NOT USE	DO NOT USE	DO NOT USE	E0 7B	E0 FB	E0 67	E0 F0 67
DO NOT USE	DO NOT USE	DO NOT USE	E0 7C	E0 FC	E0 68	E0 F0 68
DO NOT USE	DO NOT USE	DO NOT USE	E0 7D	E0 FD	E0 6A	E0 F0 6A
DO NOT USE	DO NOT USE	DO NOT USE	E0 7E	E0 FE	E0 6D	E0 F0 6D
DO NOT USE	DO NOT USE	DO NOT USE	E0 7F	E0 FF	E0 6E	E0 F0 6E
UNASSIGNED	UNASSIGNED	UNASSIGNED	54	D4	7F	F0 7F
UNASSIGNED	UNASSIGNED	UNASSIGNED	54	D4	84	F0 84
UNASSIGNED	UNASSIGNED	UNASSIGNED	55	D5	60	F0 60
UNASSIGNED	UNASSIGNED	UNASSIGNED	5A	DA	17	F0 17
UNASSIGNED	UNASSIGNED	UNASSIGNED	5B	DB	1F	F0 1F
UNASSIGNED	UNASSIGNED	UNASSIGNED	62	E2	56	F0 56
UNASSIGNED	UNASSIGNED	UNASSIGNED	63	E3	5E	F0 5E
UNASSIGNED	UNASSIGNED	UNASSIGNED	64	E4	08	F0 08
UNASSIGNED	UNASSIGNED	UNASSIGNED	65	E5	10	F0 10
UNASSIGNED	UNASSIGNED	UNASSIGNED	66	E6	18	F0 18
UNASSIGNED	UNASSIGNED	UNASSIGNED	67	E7	20	F0 20
UNASSIGNED	UNASSIGNED	UNASSIGNED	68	E8	28	F0 28
UNASSIGNED	UNASSIGNED	UNASSIGNED	69	E9	30	F0 30
UNASSIGNED	UNASSIGNED	UNASSIGNED	6A	EA	38	F0 38
UNASSIGNED	UNASSIGNED	UNASSIGNED	6B	EB	40	F0 40
UNASSIGNED	UNASSIGNED	UNASSIGNED	6C	EC	48	F0 48
UNASSIGNED	UNASSIGNED	UNASSIGNED	6D	ED	50	F0 50
UNASSIGNED	UNASSIGNED	UNASSIGNED	6E	EE	57	F0 57
UNASSIGNED	UNASSIGNED	UNASSIGNED	6F	EF	6F	F0 6F
UNASSIGNED	UNASSIGNED	UNASSIGNED	71	F1	19	F0 19
UNASSIGNED	UNASSIGNED	UNASSIGNED	72	F2	39	F0 39
UNASSIGNED	UNASSIGNED	UNASSIGNED	74	F4	53	F0 53
UNASSIGNED	UNASSIGNED	UNASSIGNED	75	F5	5C	F0 5C
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 01	E0 81	E0 76	E0 F0 76
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 02	E0 82	E0 16	E0 F0 16
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 03	E0 83	E0 1E	E0 F0 1E
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 04	E0 84	E0 26	E0 F0 26
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 05	E0 85	E0 25	E0 F0 25
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 06	E0 86	E0 2E	E0 F0 2E
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 07	E0 87	E0 36	E0 F0 36
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 08	E0 88	E0 3D	E0 F0 3D
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 09	E0 89	E0 3E	E0 F0 3E
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 0A	E0 0A	E0 46	E0 F0 46
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 0B	E0 0B	E0 45	E0 F0 45
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 0C	E0 0C	E0 4E	E0 F0 4E
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 0D	E0 0D	E0 55	E0 F0 55
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 0E	E0 0E	E0 66	E0 F0 66
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 0F	E0 0F	E0 0D	E0 F0 0D
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 11	E0 91	E0 1D	E0 F0 1D
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 12	E0 92	E0 24	E0 F0 24
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 13	E0 93	E0 2D	E0 F0 2D
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 14	E0 94	E0 2C	E0 F0 2C
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 15	E0 95	E0 35	E0 F0 35
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 16	E0 96	E0 3C	E0 F0 3C
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 17	E0 97	E0 43	E0 F0 43
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 18	E0 98	E0 44	E0 F0 44
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 1A	E0 9A	E0 54	E0 F0 54
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 1B	E0 9B	E0 5B	E0 F0 5B
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 1E	E0 9E	E0 1C	E0 F0 1C
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 1F	E0 9F	E0 1B	E0 F0 1B
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 23	E0 A3	E0 33	E0 F0 33
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 25	E0 A5	E0 42	E0 F0 42
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 26	E0 A6	E0 4B	E0 F0 4B
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 27	E0 A7	E0 4C	E0 F0 4C
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 28	E0 A8	E0 52	E0 F0 52
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 29	E0 A9	E0 0E	E0 F0 0E
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 2A	E0 AA	E0 12	E0 F0 12
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 2B	E0 AB	E0 5D	E0 F0 5D
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 2C	E0 AC	E0 1A	E0 F0 1A
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 2D	E0 AD	E0 22	E0 F0 22
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 2F	E0 AF	E0 2A	E0 F0 2A
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 31	E0 B1	E0 31	E0 F0 31
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 33	E0 B3	E0 41	E0 F0 41
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 34	E0 B4	E0 49	E0 F0 49
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 36	E0 B6	E0 59	E0 F0 59
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 39	E0 B9	E0 29	E0 F0 29
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 3A	E0 BA	E0 58	E0 F0 58
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 3B	E0 BB	E0 05	E0 F0 05
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 3C	E0 BC	E0 06	E0 F0 06
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 3D	E0 BD	E0 04	E0 F0 04
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 3E	E0 BE	E0 0C	E0 F0 0C
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 3F	E0 BF	E0 03	E0 F0 03
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 40	E0 C0	E0 0B	E0 F0 0B
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 41	E0 C1	E0 02	E0 F0 02
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 42	E0 C2	E0 83	E0 F0 83
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 43	E0 C3	E0 0A	E0 F0 0A
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 44	E0 C4	E0 01	E0 F0 01
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 45	E0 C5	E0 09	E0 F0 09
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 4A	E0 CA	E0 7B	E0 F0 7B
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 4C	E0 CC	E0 73	E0 F0 73
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 4E	E0 CE	E0 79	E0 F0 79
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 54	E0 D4	E0 7F	E0 F0 7F
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 54	E0 D4	E0 84	E0 F0 84
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 55	E0 D5	E0 60	E0 F0 60
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 56	E0 D6	E0 61	E0 F0 61
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 57	E0 D7	E0 78	E0 F0 78
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 58	E0 D8	E0 07	E0 F0 07
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 59	E0 D9	E0 0F	E0 F0 0F
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 5A	E0 DA	E0 17	E0 F0 17
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 62	E0 E2	E0 56	E0 F0 56
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 64	E0 E4	E0 08	E0 F0 08
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 6E	E0 EE	E0 57	E0 F0 57
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 6F	E0 EF	E0 6F	E0 F0 6F
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 70	E0 F0	E0 13	E0 F0 13
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 71	E0 F1	E0 19	E0 F0 19
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 72	E0 F2	E0 39	E0 F0 39
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 73	E0 F3	E0 51	E0 F0 51
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 74	E0 F4	E0 53	E0 F0 53
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 75	E0 F5	E0 5C	E0 F0 5C
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 76	E0 F6	E0 5F	E0 F0 5F
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 77	E0 F7	E0 62	E0 F0 62
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 78	E0 F8	E0 63	E0 F0 63
UNASSIGNED	UNASSIGNED	UNASSIGNED	E0 79	E0 F9	E0 64	E0 F0 64
